idiom	alts
american_dream	"[""american dream""]"
catch-22	"[""catch-22""]"
christmas_present	[]
downing_street	[]
elysian_fields	[]
faustian_bargain	[]
great_britain_and_ireland	[]
i_can_tell_you	[]
i_rest_my_case	[]
I'll_be_damned	[]
johnny-come-lately	"[""jonny-come-lately""]"
monday-morning_quarterback	[]
monopoly_money	[]
prince_of_darkness	[]
russian_roulette	[]
santa's_workshop	[]
swiss_bank_account	[]
tom,_dick_and_harry	"[""tom, dick or harry""]"
trojan-horse	[]
a_bridge_too_far	[]
a_hair's_breadth	[]
a_life_of_its_own	[]
above_and_beyond	[]
accident_of_birth	[]
accident_waiting_to_happen	[]
ace_in_the_hole	[]
ace_up_one's_sleeve	[]
acquired_taste	[]
across_the_board	"[""across-the-board""]"
across_the_pond	[]
act_of_congress	[]
add_fuel_to_the_fire	"[""add fuel to fire"", ""add fuel to the flame"", ""pour gasoline on the fire"", ""throw gasoline on the fire"", ""throw gas on the fire""]"
add_insult_to_injury	"[""heap insult on injury""]"
adrenaline_junkie	[]
after_the_fact	[]
again_and_again	[]
against_all_odds	[]
against_the_clock	[]
against_the_grain	[]
against_the_law	[]
against_the_run_of_play	[]
against_the_world	[]
agree_to_disagree	[]
agreement_in_principle	[]
ahead_of_one's_time	[]
ahead_of_the_curve	[]
ahead_of_the_game	[]
alive_and_kicking	[]
all_and_sundry	[]
all_bets_are_off	[]
all_hell_breaks_loose	[]
all_hell_broke_loose	"[""hell broke loose"", ""all hell breaks loose""]"
all_in_a_day's_work	[]
all_it's_cracked_up_to_be	[]
all_one's_eggs_in_one_basket	[]
all_over_the_board	[]
all_over_the_map	[]
all_over_the_place	[]
all_rights_reserved	[]
all_the_marbles	[]
all_things_being_equal	[]
all_things_considered	[]
all_things_to_all_people	"[""all things to all men""]"
almighty_dollar	[]
along_the_lines	[]
ambulance_chasing	[]
an_apple_a_day	[]
an_axe_to_grind	"[""axe to grind""]"
an_offer_one_can't_refuse	[]
ancient_history	[]
and_be_done_with_it	[]
and_his_mother	[]
angle_of_attack	[]
answer_on_a_postcard	[]
anyone's_guess	[]
apple_of_someone's_eye	[]
apples_and_oranges	"[""apples to oranges""]"
area_of_influence	[]
around_the_clock	"[""round the clock""]"
around_the_corner	[]
as_i_was_saying	[]
as_all_get-out	"[""as all get out"", ""as get-out""]"
as_best_one_can	[]
as_far_as_one_knows	[]
as_luck_would_have_it	[]
as_often_as_not	[]
as_the_crow_flies	[]
as_the_day_is_long	[]
as_the_next_guy	"[""as the next girl""]"
ask_the_question	[]
asleep_at_the_switch	[]
assault_and_battery	[]
assume_the_mantle	"[""take up the mantle""]"
assume_the_position	[]
at_a_loss_for_words	[]
at_a_moment's_notice	[]
at_arm's_length	[]
at_cross-purposes	[]
at_death's_door	"[""at death's door""]"
at_each_other's_throats	[]
at_first_blush	"[""at the first blush""]"
at_one's_fingertips	[]
at_sixes_and_sevens	[]
at_the_best_of_times	[]
at_the_coal_face	[]
at_the_drop_of_a_hat	[]
at_the_end_of_one's_tether	"[""at the end of one's rope""]"
at_the_end_of_the_day	[]
at_the_feet_of	[]
at_the_mercy_of	[]
at_the_receiving_end	[]
at_the_top_of_one's_lungs	[]
at_the_top_of_one's_voice	[]
at_the_very_least	[]
at_this_point_in_time	[]
away_from_home	[]
baby-killer	"[""babykiller"", ""baby killer""]"
back_and_forth	"[""back-and-forth""]"
back_in_the_day	"[""back in day""]"
back_of_one's_hand	[]
back_to_the_drawing_board	"[""back to the old drawing board""]"
back_to_the_wall	[]
back-burner	[]
back-of-the-envelope	"[""back-of-an-envelope""]"
back-to-back	[]
back-to-back-to-back	[]
backhanded_compliment	"[""back-handed compliment""]"
bad_taste_in_one's_mouth	[]
balance_the_books	[]
ballpark_figure	[]
balls-out	[]
balls-up	[]
banana_republic	[]
bang_for_the_buck	[]
baptism_by_fire	"[""baptism of fire""]"
bare_one's_soul	"[""lay bare one's soul""]"
bargain_basement	[]
barrel_of_laughs	[]
batten_down_the_hatches	[]
bee_in_one's_bonnet	[]
been_there,_done_that	[]
before_someone's_time	[]
behind_closed_doors	[]
behind_someone's_back	[]
behind_the_counter	[]
behind_the_eight-ball	[]
behind_the_scenes	"[""behind-the-scenes""]"
behind_the_times	[]
behind_the_wheel	[]
believe_it_or_not	[]
believe_one's_ears	[]
believe_one's_eyes	"[""believe one's own eyes""]"
believe_you_me	[]
bells_and_whistles	[]
below_the_belt	[]
bend_over_backwards	"[""lean over backwards""]"
bend_the_rules	[]
beneath_the_surface	[]
beside_the_point	[]
best_laid_plans	[]
best_of_both_worlds	[]
best_of_the_bunch	[]
best_thing_since_sliced_bread	[]
best-kept_secret	[]
bet_one's_bottom_dollar	[]
better_and_better	[]
between_a_rock_and_a_hard_place	[]
between_the_pipes	[]
beyond_the_call_of_duty	[]
beyond_the_pale	[]
bide_one's_time	[]
big_fish_in_a_small_pond	[]
big-boned	"[""big boned""]"
bigger_fish_to_fry	[]
bird's-eye_view	[]
birds_and_bees	"[""the birds and the bees""]"
birds_of_a_feather	[]
bit_between_one's_teeth	[]
bite_of_the_cherry	[]
bite_off_more_than_one_can_chew	[]
bite_one's_tongue	[]
bite_the_bullet	[]
bitter_pill_to_swallow	"[""bitter pill""]"
black_and_blue	"[""black-and-blue""]"
black-on-black	[]
blessing_in_disguise	[]
blink_of_an_eye	[]
blocking_and_tackling	[]
blood_and_guts	[]
blood_in_the_water	[]
blood,_sweat_and_tears	"[""blood, sweat, and tears""]"
blow_off_steam	[]
blow_someone's_mind	[]
blow_the_whistle	[]
blow_up_in_one's_face	[]
blow-by-blow	[]
blue-eyed	[]
blue-eyed_boy	[]
blue-sky_thinking	"[""big-sky thinking""]"
